id,numero,familia,subfamilia,cuando_aplica,tipo,manual_ficha,tipificacion,causa_reclamo,proceso_resolucion,script_rrss,tiene_wizard
c16,16,Funcionamiento y Entorno de Local/CD,Locales comerciales,"Cliente consulta por información de locales trascaja (horarios, funcionamiento, servicios, etc.)",Consulta,"Consultas generales de locales comerciales 
(Famacia/tabaqueria/etc) (123083)",123083,Consultas generales de locales comerciales (Farmacia-Tabaquería-etc),,"Arriendo de local comercial y donación de espacio:

Si te interesa arrendar un local comercial en supermercados Lider, Express de Lider o Super Bodega aCuenta☝️, debes Ingresar al link walmartchile.cl/arriendo-locales/ y completar el formulario con tus datos🪪.

Horario funcionamiento de local comercial:

Te informo que las tiendas comerciales se rigen por funcionamiento del local y estas sólo funcionan dentro de los horarios determinados por éste🤝.

Información de contacto de local comercial habilitado:

Te comento que debes ir directamente a la tienda comercial a consultar tus dudas🤝.",0
c17,17,"Pagos, tarjetas y reembolsos","Boleta, factura y/o nota de crédito",Cuando el cliente se comunique para solicitar que se cambie su documento de pago de boleta a factura o viceversa.,Solicitud,,1200002,Solicitud cambio de boleta por factura (o viceversa),Crear un caso en HOLA,"Te comento que no es posible realizar el cambio de boleta a factura (o viceversa)☝️.  

De todas maneras, te informo que dejé registro de esta solicitud en el sistema. Gracias por tu comprensión🤝.",0
c18,18,"Publicidad, campañas y promociones",Campañas/Publicidad/Concursos,"Cuando el cliente se comunique para pregunta sobre concursos vigentes, etapa de concursos, ganadores del concurso, entre otras informaciones relacionadas.",Consulta,Consultas generales sobre concursos (123078),123078,Consultas generales sobre concursos,,"Respecto a tu consulta, te invito a revisar en detalle todas las bases y concursos en el sitio web Lider.cl (al final del sitio, en ""Términos y Condiciones"", y luego en el menú lateral izquierdo ""Bases de campañas y concursos"").

Además, te invito a estar atento(a) a nuestros canales oficiales en redes sociales, Instagram y TikTok, ambos bajo el usuario @lider\_cl, ya que a través de estos canales y sus transmisiones informamos de lo activo",0
c19,19,Mi Club,Programa Pesos Mi Club,"Cliente consulta por el programa de Mi Club, beneficios, modo de uso, etc.",Consulta,"Consultas generales sobre programa de pesos Mi 
Club (123081) / Documento todas las posibles preguntas genéricas relacionadas al programa Mi Club.",123081,Consultas generales sobre programa de pesos Mi Club,,"Script a utilizar para compras hasta el 8 de julio 2025:
Te comento que actualmente puedes acumular Pesos Mi Club en Líder, Express de Líder, Líder.cl y App Líder, indicando tu RUT al momento de la compra:

Pagando con todo medio de pago distinto a Lider BCI:

Te comento que con todo medio de pago acumulas un 0,8% del total de tu compra sin tope mensual.

Pagando con Lider BCI:

Todos los días te devolveremos un 6% del total de tu compra “en Pesos Mi Club”. sin importar el tipo de producto que compre. Este beneficio tiene un tope mensual de acumulación de 200.000 Pesos Mi Club.

Instrucción para el ejecutivo: Si el cliente solicita detalle:
Te comento que si pagas el 100% de tu compra con su Tarjeta de Crédito Líder BCI, acumulas un 0,9% del total de su compra en Pesos Mi Club. Además, hasta el 8 de julio de 2025, puedes acceder a acumulaciones especiales del 20% en las siguientes categorías y días:
Martes: carnes
Miércoles: frutas y verduras
Viernes: limpieza y detergentes
Sábado: vinos, cervezas y espumantes
Este beneficio tiene un tope mensual de acumulación de 100.000 Pesos Mi Club.

Nota: Excepciones y no acumulan Pesos MI Club: Compras de juegos de azar, gift cards, cigarrillos, la parte de la compra pagada con Pesos MI Club, pagos de cuentas de servicios básicos y compras asociadas a la Beca de Alimentación BAES.

Comercios Asociados:

Te comento además, que te devolvemos el 0,1% del monto de tu compra “en Pesos Mi Club” comprando en otros comercios con la tarjeta de crédito Líder BCI (Comercios Asociados), excluyendo servicios financieros, combustible, recaudación, supermercados, casinos y juegos de azar y grandes tiendas. El detalle completo lo puedes revisar en www.tarjetaliderbci.cl.
Es importante mencionar que los Pesos Mi Club se reflejan de forma inmediata en tu saldo disponible. En algunos casos, podrían tardar hasta un máximo de 10 días hábiles en verse reflejados.

Script a utilizar para compras desde el 9 de julio:
Te comento que actualmente puedes acumular Pesos Mi Club en Líder, Express de Líder, Líder.cl y App Líder, indicando tu RUT al momento de la compra:

Pagando con todo medio de pago distinto a Lider BCI:

Te comento que con todo medio de pago acumulas un 0,8% del total de tu compra sin tope mensual.

Pagando con Lider BCI:

Te comento que desde el 9 de julio de 2025, es más simple, ya que todos los días te devolveremos un 6% del total de tu compra “en Pesos Mi Club”. sin importar el tipo de producto que compres. Este nuevo beneficio tendrá un tope mensual de acumulación de 200.000 Pesos Mi Club.


Nota: Excepciones y no acumulan Pesos MI Club: Compras de juegos de azar, gift cards, cigarrillos, la parte de la compra pagada con Pesos MI Club, pagos de cuentas de servicios básicos y compras asociadas a la Beca de Alimentación BAES.

Comercios Asociados:

Te comento además, que te devolvemos el 1% del monto de tu compra “en Pesos Mi Club” comprando en otros comercios con la tarjeta de crédito Líder BCI (Comercios Asociados), excluyendo servicios financieros, combustible, recaudación, supermercados, casinos y juegos de azar y grandes tiendas. El detalle completo lo puedes revisar en www.tarjetaliderbci.cl.
Es importante mencionar que los Pesos Mi Club se reflejan de forma inmediata en tu saldo disponible. En algunos casos, podrían tardar hasta un máximo de 10 días hábiles en verse reflejados.",0
c19,19,"Despacho, entrega y estado del pedido",Modificaciones en la entrega,Cliente solicita cambiar persona autorizada para realizar el retiro de pedido Pick Up,Solicitud,"Solicitud para agregar/cambiar que un tercero 
retire un pedido (800204)",800204,Solicitud para agregar/cambiar que un tercero retire el pedido,Crear un caso en HOLA,"Te comento que para que otra persona retire tu pedido, este deberá entregar el código de retiro enviado a tu WhatsApp o al correo asociado a tu cuenta una vez el pedido esté listo para retirar. Recuerda que te avisaremos cuando el pedido ya esté preparado y puedas acercarte al local. 
De todas maneras, te informo que dejaré registro de su solicitud en nuestro sistema🖥️.",0
c20,20,Producto,Garantía legal,Cliente reclama que recibió un producto alimentario en mal estado. Si cliente declara daño por consumo usar 'Accidente de cliente postcompra...',Reclamo,Calidad alimentaria (155130),155130,Calidad alimentaria,"Crear un caso en HOLA 

SOD usar el selector de productos correspondiente y marcar sólo los productos que presentan problemas. Descripción del caso: Problema utilizando el Tipo de clasificaciones para el problema del producto reclamado, seguido de todo el detalle que el cliente indica.

*Si el monto de compra es menor a $1.000 se devolverá como pesos Mi club (excepto pagos con T Lider).

*Alerta “En caso de Garantía Legal o de Satisfacción, debes derivar a este cliente a tienda para que pueda ejercer la garantía con el producto físico y el documento que acredite la entrega” sobre la información personal del cliente. Crear caso y en la “Resolución elegida por el cliente” seleccionar “Cliente derivado a local” e indicar al cliente que debe ir a local.","Indicación para el ejecutivo:

PPS (Perecibles): plazo establecido en la fecha de vencimiento, con un tope máximo de 6 meses o a falta de información (Fecha de vencimiento) 7 días desde la compra.
 
ACP (Alimentos, consumibles y mascotas <pets>): plazo establecido en máximo 6 meses desde la compra.
 
No Aplica Garantía legal: Fuera de plazo

Indicación para el ejecutivo: Crear caso con la siguiente resolución ""Información de garantía entregada en el contacto"" y dejar glosa en la descripción indicando lo siguiente: Fuera de plazo, no aplica garantía legal.

Te comento que, tu producto se encuentra fuera del plazo de garantía legal🙌. De todas maneras, debo informarte que registraré este caso acerca de lo que solicitaste durante esta atención💻.

*Aplica Garantía legal

Dentro de plazo:

Me puedes indicar por favor, ¿qué problema tiene el producto?🤔

Indicación para el ejecutivo: Una vez identificado el problema del producto, debes dejar registro en HOLA, seleccionando el producto y su clasificación según lo indicado por cliente.
 
SOD:

*Monto a devolver es MAYOR a $15.000*:

Indicación para el ejecutivo: Debes crear caso con resolución ""Cliente derivado a local"":

Comprendo🙌. Para poder realizar la devolución de dinero, debes dirigirte al local con el producto. De todas maneras, registraré tu solicitud y lo que acabo de revisar en nuestro sistema💻.

*Monto a devolver es MENOR O IGUAL a $15.000*:

Indicación para el ejecutivo: En ese caso debes realizar la cancelación de el/los productos(s) en Excalibur. Apóyate con el siguiente documento (Anulado parcial en primer contacto -SOD).

¿Te permitió cancelar los productos en Excalibur?

NO se pudo cancelar en Excalibur el/los productos que el cliente reclamó:

Indicación para el ejecutivo: Deberás crear el caso según el requerimiento del cliente, en la descripción deberás agregar la siguiente glosa “Error en cancelar” seguido de lo mencionado por el cliente. Adicionalmente, en la “Resolución elegida por el cliente” deberás seleccionar “Devolución de dinero”:

Te comento que, debo registrar este caso para poder gestionar la devolución de tu dinero, la cual se podrá ver reflejada dentro del día o un plazo máximo de 7 días hábiles🤝. 
 
Se pudo cancelar en Excalibur el/los productos que el cliente reclamo (ANULACIÓN PARCIAL EN PRIMER CONTACTO):

Indicación para el ejecutivo: Una vez que se haya generado la anulación, deberás generar la captura de la cancelación de Excalibur, posteriormente debes crear caso con la resolución “Producto/s anulado en primer contacto” y deberás adjuntar la captura de la cancelación realizada:

Te comento que, realizaré la anulación de los productos que me indicaste del pedido con número 👉XXXX. El monto a devolver es de $XXXX y la devolución de tu dinero se podrá ver reflejada dentro del día o un plazo máximo de 7 días hábiles🤝.

Indicación para el ejecutivo: Si al crear el caso, visualizas un mensaje de compensación procesada exitosamente únicamente para este escenario:

Sabemos que esta situación pudo haber generado molestias por tu parte🙌, y es por esto que, hemos cargado Pesos Mi Club en tu cuenta. Para que hagas uso de estos en tu próxima compra🤝. 
Si gustas, puedes validar los pesos a través de nuestro sitio👉 web: www.lider.cl/tu-cuenta/miclub. Y revisar el detalle completo de los Pesos Mi Club cargados✅.

*SÓLO Alerta en HOLA para garantías SOD/CATEX*:

Te comento que, para poder gestionar tu requerimiento, debes dirigirte al local más cercano con el producto y la boleta que acredite la compra🤝. De todas maneras, registraré este caso acerca de lo que solicitaste durante esta atención💻.

Indicación para el ejecutivo: Ingresar caso de Calidad Alimentaria con resolución ""Cliente derivado a local"".",1
c20,20,"Publicidad, campañas y promociones",Promociones,"Cliente desea conocer promociones, precios de productos o campañas promocionales vigentes",Consulta,Consultas generales sobre promociones (123076),123076,Consultas generales sobre promociones,,"Campañas promocionales activas en sistema:
Te informo que actualmente está(n) activa(s) la(s) campaña(s) XXXX que consiste(n) en XXXX☺️. 
 
Si cliente está interesado en campaña en particular:
La campaña XXXX entró en vigencia el día XX-XX y finalizará el XX-XX-XXXX☺️.",0
c20,20,"Despacho, entrega y estado del pedido",Modificaciones en la entrega,Cliente solicita modificar (adelantar o retrasar) la fecha/hora de entrega o retiro de la compra,Solicitud,,800201,Solicitud para cambiar fecha/hora de entrega del pedido,"Crear un caso en HOLA

Esta causa tiene distintos escenarios, según el tipo de compra de que se trate: ON TIME (24 hrs antes de la entrega), Pickup ON TIME (24 hrs antes de la entrega), día de la entrega, Pickup día de entrega - Siempre visualizar estado de pedido en Beetrack (detalles en manual)","CATEX (HD):
Te comento que no podemos hacer modificaciones en la hora de entrega, ya que nuestras ventanas de despacho van desde 08:00 hrs a 22:00 hrs.

En el caso de querer modificar la fecha de entrega, te informo que debo registrar este caso para que el área especializada se comunique contigo, y adicionalmente puedan revisar la información de entrega asociada a tu compra para poder ofrecerte una nueva fecha de entrega. El plazo de resolución es de 5 días🤝. 

CATEX (Pickup):
Te comento que no podemos realizar modificaciones en la fecha/hora de retiro, sin embargo, como tu pedido corresponde a retiro pick up, cuentas con 10 días para poder retirarlo en nuestros locales☝️.

SOD (HD):
Te comento que actualmente no es posible realizar cambios en la fecha/hora de entrega del pedido. En el caso de no poder recibir la compra, una vez el pedido retorne al local, se generará la devolución de tu dinero en un plazo máximo de 7 días hábiles🤝.

SOD (Pickup):
Te comento que actualmente no es posible realizar cambios en la fecha/hora de entrega del pedido, sin embargo, como tu pedido corresponde a retiro en tienda cuentas con 2 días para poder retirarlo.",0
c21,21,"Pagos, tarjetas y reembolsos",Medios de pago,"Cliente desea información sobre servicios financieros (cartola, fechas de pago, comisiones) de la tarjeta de Lider BCI",Consulta,Consultas generales sobre tarjeta Lider BCI (123087),123087,Consultas generales sobre tarjeta Lider-BCI,,"Indicación para el ejecutivo: Recuerda que esta causa se utiliza para derivar consultas relacionadas directamente con Servicio Financiero Líder BCI, como pagos, estado de cuentas, cuotas, intereses, deudas, avances, seguros, costos asociados, problemas con la tarjeta y fraudes:

Comprendo🙌. Te comento que cualquier consulta o requerimiento relacionado con tu tarjeta Líder BCI debe ser atendido a través del número 600 600 5757. También puedes aclarar tus dudas en https://tarjetaliderbci.cl/☝️.",0
c22,22,Daños físicos y/o daños materiales,Daño material,Cliente reclama que un vehículo de la empresa provocó un choque que generó pérdidas para el cliente,Reclamo,,170008,Choque/daño/hurto provocado por transporte WM,"Crear un caso en HOLA 

Dejar todo el detalle que indica el cliente en la descripción del caso.","Comprendo lo que me comentas. Te informo que el área especializada se comunicará contigo para solicitar todos los antecedentes necesarios. Una vez que contemos con toda la información necesaria, realizaremos las gestiones correspondientes de acuerdo a nuestro protocolo interno. Te recomiendo tomar fotos y guardar la documentación relacionada para tenerlo como evidencia. El plazo de resolución es de 3 días hábiles🤝.",0
c22,22,"Pagos, tarjetas y reembolsos",Medios de pago,"Cliente consulta por información de tarjetas alimenticias. Ej. Condiciones, restricciones, etc.",Consulta,Documento todas las posibles preguntas genéricas relacionadas a las tarjetas de alimentación.,500003,Consultas generales sobre tarjetas de alimentación,,"Consultas generales:

Te comento que respecto a tu consulta sobre tarjetas de alimentación (indicar respuesta a pregunta del cliente). Por favor, ¿me podrías enviar Tu Rut para dejar registro de esta consulta?💻

En caso de problemas con la tarjeta de alimentación inclusive reclamos de devolución de dinero:

Para gestionar la devolución de tu dinero debes acercarte al local en donde realizaste la compra. De todas formas dejaré ingresado este contacto para respaldo🤝.",0
c22,22,"Despacho, entrega y estado del pedido",Modificaciones en la entrega,Cliente solicita cambiar o corregir la dirección o retiro asociada a una compra,Solicitud,"Solicitud para cambiar/rectificar dirección de 
entrega del pedido",800203,Solicitud para cambiar/ rectificar dirección de entrega del pedido,"Crear caso HOLA

CATEX (HD) Indicar detalle que indica el cliente en la descripción del caso, más la nueva dirección (con la comuna y región correspondiente) de entrega que el cliente necesita recibir su pedido.","Compra CATEX (HD):

Te comento que debo registrar este caso para que el área especializada se comunique contigo☝️, y adicionalmente puedan revisar la información de entrega asociada a tu pedido para ver si este se encuentra en un estado que permita realizar el cambio de dirección solicitada. El plazo de resolución es de 3 días hábiles🤝.",0
c23,23,Mi Club,Acumulación pesos Mi Club,Cliente solicita hacer un traspaso de los PMC de cliente que acreditan que ha fallecido,Solicitud,"Solicitud para transferir acumulación de pesos Mi Club a 
otro Rut (Sólo en caso de fallecimiento del titular) 
(1300005)",1300005,Solicitud para transferir acumulación de Pesos Mi Club a otro Rut (sólo en caso de fallecimiento del titular),Crear un caso en HOLA,Como Lider empatizamos con tu pérdida. Es necesario registrar tu caso para que el área especializada se comunique contigo y te soliciten los antecedentes necesarios para gestionar tu solicitud. El plazo de resolución es de hasta 3 días hábiles.,0
c24,24,"Pagos, tarjetas y reembolsos",Medios de pago,"Cliente desea conocer qué medios de pago pueden utilizarse, tanto presencial como en la web",Consulta,Consultas por medios de pago disponibles (500001),500001,Consultas por medios de pago disponibles,"Lider Cliente hace alusión que no aparece opción de Webpay - Agregar glosa: Sin Webpay junto con lo que indica cliente 

Dudas de como inscribir su tarjeta dentro de la APP - Agregar Glosa: Inscripción OneClick junto a lo que indica el cliente","LIDER:
Los medios de pago disponibles en tienda física hoy en día son👇: 
- Dinero en efectivo 
- Tarjeta Lider BCI  
- Tarjetas de crédito  
- Tarjetas de débito  
- Pesos Mi Club 
- Beca JUNAEB 
- Tarjeta PLUXEE
- Tarjeta AMIPASS

Los medios de pago disponibles en Líder.cl y Líder APP hoy en día son👇:  
 - Tarjeta Lider BCI.  
- Webpay (Tarjetas de crédito y débito).  
- Oneclick – Pago rápido para tarjetas inscritas (Tarjetas de crédito y débito).  
- Click Fácil - Pago rápido para tarjetas inscritas (Tarjeta Líder BCI).  
- Pesos Mi Club.  

Cliente hace alusión a que no aparece opción de Webpay en LIDER APP
Te comento que con el fin de mejorar la experiencia de pago dentro de nuestra APP📲, ya no tenemos disponible la opción de Webpay plus, sólo contamos con pago con tarjetas inscritas mediante OneClick o Tarjeta Lider BCI💳. 

Por tu seguridad🙌, te comento que los datos de la tarjeta inscrita mediante OneClick son gestionados y almacenados únicamente por Transbank, por lo que Lider no guarda la información de tu tarjeta🤝. 

Si el cliente tiene dudas sobre cómo inscribir su tarjeta dentro de la APP
Al momento de ir a pagar dentro de la APP📲, debes escoger la opción “elige un medio de pago” y luego seleccionar “OneClick”☝️.  

Posteriormente, se abrirá una ventana, donde podrás inscribir tu tarjeta, ingresando el número de tarjeta, rut y confirmando tu correo electrónico. Luego selecciona “Inscribir mi tarjeta”💳.

Una vez registrada, se te realizará un cobro máximo de 50 pesos, el cual será reembolsado a tu tarjeta💳.  

Este proceso deberás realizarlo una única vez☺️, ya que para tus próximas compras, aparecerá el medio de pago ya inscrito dentro de la APP🤝.",0
c25,25,"Pagos, tarjetas y reembolsos",Problemas pago,Cliente reclama que se realizaron múltiples cobros y múltiples compras y solicita dejar solo una de ellas,Reclamo,,500302,Compra duplicada,Crear un caso en HOLA,"Según lo que me indicas, gestionaré tu requerimiento relacionado con doble compra. La devolución de tu dinero se podrá ver reflejada dentro del día o en un plazo máximo de 7 días hábiles🤝.",0
c25,25,"Publicidad, campañas y promociones",Publicidad,Cliente consulta acerca de cómo dejar de recibir correos promocionales de walmart.,Consulta,"Consulta sobre cómo dar de baja la publicidad 
recibida vía email (700408)",700408,Consultas sobre cómo dar de baja la publicidad recibida vía email,,"Te informo que para dejar de recibir emails con publicidad📨, deberás abrir uno de los correos publicitarios, pinchar en el enlace que está en la zona inferior ""Para anular su suscripción, haga clic aquí"" y te redirigirá a una página donde debes seleccionar qué publicidad quieres dejar de recibir (Mundo Lider, Informativos, Relacionales, Supermercado)🤝.",0
c27,27,Producto,Información y disponibilidad de productos,Cliente desea conocer disponibilidad de producto en sala o por internet,Consulta,Consultas sobre stock de productos (123079),123079,Consultas sobre stock de productos,,"Te comento que actualmente no podemos ver el stock de productos en línea. Es por eso que te recomiendo visitar nuestro sitio web Lider.cl, o bien ingresar a la LiderApp, donde puedes comprar con despacho a domicilio o Pickup🚚.",0
c28,28,"Pagos, tarjetas y reembolsos",Fraude,Cliente reclama desconocer un movimiento bancario (uso de tarjeta) o desconoce una compra que dice no haber realizado,Reclamo,,500701,Compra/cobro no reconocido por cliente,Crear un caso en HOLA,"Te informo que para todos los movimientos no reconocidos por ti debes comunicarte directamente con tu entidad financiera  y reportar esta situación, para que así puedan reembolsarte el dinero. Destacar que la responsabilidad es de tu entidad bancaria, pues la Ley de Fraude es entre el cliente y el banco, por lo que debes contactarte para informar la situación. Asegúrate de tener toda la información relevante al momento del contacto con tu banco cómo el monto, fecha y cualquier detalle que pueda ser util☝️.",0
c28,28,"Pagos, tarjetas y reembolsos",Tarjetas de regalo,"Cliente consulta por el uso, saldo, vigencia o condiciones de su tarjeta de regalo empresa",Consulta,Consultas sobre tarjeta de regalo empresa (500503),500503,Consultas sobre Tarjeta de regalo empresa,Derivar a Contact Tarjeta de regalo,"Te informo que, para gestiones relacionadas a Tarjeta de Regalo debes comunicarte directamente con el Call Center de Gift Card al número 📲600 600 8282 o bien, contactar a uno de estos correos👉: tarjetaempresas@2call.cl / giftcard@2call.cl.

Indicación para el ejecutivo: Si el cliente realizo una compra de PMC a través de alianza (por ejemplo: LATAM), utilizar causa <Compra no acumuló Pesos Mi Club>",0
c29,29,"Pagos, tarjetas y reembolsos",Tarjetas de regalo,"Cliente consulta por el uso, saldo, vigencia o condiciones de su tarjeta de regalo persona natural",Consulta,Consultas sobre tarjeta de regalo persona (500504),500504,Consultas sobre Tarjeta de regalo persona,Derivar a Contact Tarjeta de regalo,"Te informo que, para gestiones relacionadas a Tarjeta de Regalo debes comunicarte directamente con el Call Center de Gift Card al número 📲600 600 8282 o bien, contactar a uno de estos correos👉: tarjetaempresas@2call.cl / giftcard@2call.cl.

Indicación para el ejecutivo: Si el cliente realizo una compra de PMC a través de alianza (por ejemplo: LATAM), utilizar causa <Compra no acumuló Pesos Mi Club>",0
c30,30,Mi Club,Acumulación pesos Mi Club,Cliente reclama no haber acumulado PMC en compra online o presencial por problema sistémico o porque no se dictó/solicitó el rut en caja,Reclamo,,1300006,Compra no acumuló Pesos Mi Club,Crear un caso en HOLA,"Indicación para el ejecutivo: Antes de entregar una respuesta, realiza las siguientes preguntas al cliente:

Me podrías indicar por favor si☝️, ¿realizaste la compra en Lider?, ¿recuerdas la fecha de la compra?, ¿qué método de pago utilizaste?🤔.
  
*Inmediatamente debe seleccionar en el campo “canal de venta” la opción que corresponda*.
  
1. Lider, Express, Lider App y Lider.cl.
 
Escenario 1A: Compras físicas en Lider.

Importante:

Para compras físicas, nunca se debe crear un caso manualmente, ya que el caso de respaldo se genera automáticamente.

Indicación para el ejecutivo: Una vez identificada la compra como realizada en Lider o Express (compras físicas), se debe proceder de inmediato con la gestión de acumulación automática. Si todos los pasos se ejecutan correctamente, el sistema entregará una de las siguientes respuestas:

Respuesta 1 – Acumulación Exitosa:
¡Listo☺️! La acumulación de Pesos Mi Club se realizó con éxito. Gracias por tu preferencia💙.

Puedes ver los Pesos Mi Club reflejados en tus movimientos Mi Club: www.lider.cl/tu-cuenta/miclub📲. 

Respuesta 2 – No Aplica Acumulación:
La compra ya acumuló Pesos Mi Club☝️. Puedes ver los Pesos Mi Club reflejados en tus movimientos Mi Club: www.lider.cl/tu-cuenta/miclub📲.

Respuesta 3 – Aún no podemos confirmar la acumulación:
No pudimos confirmar la acumulación en este momento🙌. 
El caso fue derivado al equipo especialista para su revisión. El plazo de respuesta es de hasta 3 días hábiles🤝. 

Escenario 1B: Compras online en Lider App y Lider.cl.

Importante:

Aplica para compras realizadas a través de Lider App y Lider.cl.

Indicación para el ejecutivo:

Una vez identificada la compra como online, se debe validar el estado del pedido en el sistema HOLA.

Respuesta 1 – Estado distinto a ""Entregado"".
Se debe informar al cliente que los Pesos Mi Club se visualizarán en su cuenta una vez que la compra haya sido efectivamente entregada.

Indicación adicional: Tipificar el caso con la causa: ""Consultas generales sobre programa de Pesos Mi Club"".

Respuesta 2 – Estado ""Entregado"".
Se debe ingresar Tipificar el caso con la causa: ""Compra con rut no acumula pesos mi club” e informar al cliente que su caso fue derivado al equipo especialista para revisión.
El plazo de respuesta es de hasta 3 días hábiles.

Recordatorio:

Existe un tope mensual de acumulación de 200.000 Pesos Mi Club si la compra fue realizada con tarjeta Lider BCI.
Si el cliente ya alcanzó ese límite, no se generarán nuevas acumulaciones durante ese mes.

2. Alianzas dictando Rut:
Tipificar con la causa: Consultas alianzas con Mi Club (Convenios con otras empresas) o Problemas con alianza Mi Club, según corresponda.
 
3. Comercios Asociados con Lider BCI: El plazo de 10 días hábiles se cumplió, avanzar hasta el Escenario 3.  
  
Escenario 2: Aún no se cumplen los plazos mínimos.

*Plazos de acreditación*:

Compras en comercios asociados (CAS): hasta 10 días hábiles:
Comprendo🙌. Te pediría esperar el plazo estipulado, ya que los Pesos Mi Club pueden tardar hasta 10 días hábiles (CAS) en verse reflejados🤝.

Indicación para el ejecutivo: Recuerda tipificar con la causa: ""Consultas generales sobre programa de Pesos Mi Club"".
  
*Nota 1*: Otro medio de pago diferente a Lider BCI no tiene tope de acumulación.
 
*Nota 2*: Las siguientes compras son excepciones y no acumulan Pesos MI Club tales como compras de juegos de azar, gift cards, cigarrillos, la parte de la compra pagada con Pesos MI Club, pagos de cuentas de servicios básicos y compras asociadas a la Beca de Alimentación BAES.
  
Escenario 3: Compras en Comercios Asociados – Ya pasaron 10 días hábiles.

*Pregunta al cliente*:

¿En qué comercio realizaste la compra?  
  
3.1 Comercio excluido:   
Comprendo🙌. Te comento que es posible que tu compra corresponda a un rubro excluido. Puedes revisar el detalle completo en los Términos y Condiciones del programa Mi Club en www.tarjetaliderbci.cl.  
Los rubros excluidos incluyen: servicios financieros, combustible, recaudación, supermercados, casinos y juegos de azar, y grandes tiendas. En caso de consulta o duda adicional relacionado con tu tarjeta Líder BCI debe ser atendido a través del número 600 600 5757. También puedes aclarar tus dudas en https://tarjetaliderbci.cl/💻.

Indicación para el ejecutivo: Recuerda tipificar con la causa: ""Consultas generales sobre programa de Pesos Mi Club"".
 
*Nota 1*: En la descripción del caso declarar comercio excluido.
Ejemplo 1: “Combustible”, cliente mencionó Copec, Petrobras, o Shell. 
Ejemplo 2: “Grandes tiendas”, cliente mencionó Falabella, Ripley.
 
3.2 Comercio aplica (CAS) posible inyección de Pesos Mi Club:

Comprendo lo que me comentas🙌. Como ya han pasado los 10 días hábiles, te informo que, si el comercio donde realizaste la compra con tu tarjeta Líder BCI no está dentro de los comercios de excepción, en este caso el requerimiento relacionado con tu tarjeta Líder BCI debe ser atendido a través del número 600 600 5757. También puedes aclarar tus dudas en https://tarjetaliderbci.cl/💻.

Indicación para el ejecutivo: Recuerda tipificar con la causa: ""Consultas generales sobre programa de Pesos Mi Club"".",0
